ID;YEAR;ASSETS;EQUITY;SALES;NET_PROFIT;ROA;TLTE;DEBTSTRUCT;ROE;INDB;IND;INFR;PEOPLE;PARTNERS
88;2018;121365000;89191000;191577000;6667000;0,054933465;;0,265101141;0,074749693;1;2;3;2;1
88;2019;201508000;103489000;227580000;14298000;0,070954999;0,947144141;0,485990631;0,138159618;1;2;3;2;2
88;2020;172686000;98233000;224378000;4744000;0,027471827;0,75792249;0,42921835;0,048293345;1;2;3;2;2
89;2018;65517144000;37181263000;11445151000;6671295000;0,10182518;0,762579259;0,163053414;0,179426268;0;1;3;2;2
89;2019;70658264000;39122926000;11359533000;2773436000;0,039251403;0,806057783;0,151299571;0,0708903;0;1;3;2;2
89;2020;71405078000;41366003000;12432865000;3189413000;0,044666473;0,726177847;0,141833638;0,077102274;0;1;3;2;2
90;2018;770361000;374703000;927735000;118429000;0,153731822;;0,539880653;0,31606099;0;1;3;2;2
90;2019;712903000;415430000;916240000;114710000;0,160905481;;0,440082311;0,276123524;0;1;3;1;2
90;2020;822325000;346830000;953379000;85383000;0,10383121;;0,593165719;0,24618113;0;1;3;2;2
91;2018;216936000;-1556275000;169380000;-103647000;-0,477776856;-1,139709242;2,070527713;0,066599414;0;1;3;2;2
91;2019;154509000;-309491000;135599000;231162000;1,496107023;-1,500198713;2,898646681;-0,746910274;0;1;3;2;1
91;2020;121056000;-375748000;104627000;-92065000;-0,760515794;-1,322455475;3,975498943;0,245017931;0;1;3;2;2
92;2018;196215000;128380000;538481000;27911000;0,142247025;0,528392273;0,338236119;0,217409253;0;1;3;2;2
92;2019;202283000;127564000;602790000;28132000;0,139072488;0,585737355;0,358300005;0,220532432;0;1;3;2;1
92;2020;217486000;144480000;635241000;40916000;0,18813165;0,505301772;0,321588516;0,2831949;0;1;3;2;2
93;2018;288843000;75298000;1075173000;-2121000;-0,007343089;2,8359983;0,737698334;-0,028168079;0;1;3;2;2
93;2019;202403000;70396000;845216000;-4902000;-0,024219009;1,875205978;0,624313869;-0,069634639;0;1;3;2;2
93;2020;156665000;49844000;447751000;-20552000;-0,131184374;2,14308643;0,665375164;-0,412326455;0;1;3;2;2
95;2019;188485000;-33734000;206507000;-19126000;-0,101472266;-6,587389577;1,178958538;0,566965103;0;1;3;2;2
95;2020;268010000;-52496000;144515000;-18762000;-0,070004851;-6,105341359;1,195862095;0,357398659;0;1;3;2;2
96;2018;140203000;105140000;117651000;9586000;0,068372289;0,333488682;0,249780675;0,091173671;0;1;3;2;2
96;2019;166197000;117329000;146209000;16814000;0,101169095;0,416512542;0,293783883;0,143306434;0;1;3;2;2
96;2020;186961000;121004000;171423000;24740000;0,132327063;0,545081154;0,352554811;0,204456046;0;1;3;2;2
97;2018;159344000;-229720000;231489000;11879000;0,074549403;;2,441660809;-0,051710777;0;1;3;2;2
97;2019;177883000;-223751000;303163000;5969000;0,033555764;;2,257854882;-0,026676975;0;1;3;2;2
97;2020;530386000;-248146000;294573000;-24395000;-0,045994804;-3,137394921;0,797187331;0,098309062;0;1;3;2;2
98;2018;5931013000;2613309000;10443956000;136961000;0,023092345;1,269541413;0,451930556;0,052409034;0;1;3;1;2
98;2019;5666168000;2459835000;9900099000;9663000;0,001705385;1,303474827;0,434232448;0,003928312;0;1;3;2;2
98;2020;7187961000;2427799000;8657698000;35457000;0,004932831;1,960690321;0,480451549;0,014604586;0;1;3;2;2
99;2018;106250000;101721000;148987000;46379000;0,436508235;;0,042625882;0,455943227;0;1;3;2;1
99;2019;201468000;193751000;302727000;129431000;0,642439494;;0,03830385;0,66802752;0;1;3;2;2
99;2020;262879000;251118000;306416000;152837000;0,581396764;0,046838538;0,042757314;0,608626246;0;1;3;2;2
100;2018;979338000;770160000;961273000;73091000;0,074633068;0,271603303;0,132090249;0,094903655;1;2;3;2;2
100;2019;974674000;736778000;938960000;39709000;0,040740802;0,322886948;0,161067188;0,053895473;1;2;3;2;2
100;2020;983098000;765192000;1032422000;68123000;0,069294211;0,284772972;0,133881871;0,08902733;1;2;3;2;2
102;2018;338034000;44257000;416913000;17993000;0,053228373;;0,8690753;0,406557143;0;1;3;2;2
102;2019;237670000;149598000;868329000;121432000;0,510926915;;0,370564228;0,8117221;0;1;3;2;1
102;2020;419115000;239630000;881249000;118631000;0,283051191;;0,428247617;0,495059043;0;1;3;1;2
103;2018;3083833000;2039628000;2922316000;9097000;0,0029499;0,511958553;0,278492707;0,004460127;1;2;3;2;2
103;2019;2818223000;2055379000;2745255000;16655000;0,005909752;0,371145176;0,199554826;0,008103129;1;2;3;2;2
103;2020;4133064000;2648280000;2459184000;715284000;0,173063858;0,560659749;0,323565036;0,270093799;1;2;3;1;2
104;2018;2140349000;1309361000;4846919000;-193742000;-0,090518883;0,634651559;0,374922968;-0,147966832;1;2;3;2;2
104;2019;2001638000;1194108000;4193537000;-115253000;-0,057579343;0,676262114;0,387089973;-0,09651807;1;2;3;2;2
104;2020;2853775000;1463872000;5152555000;234364000;0,082124204;0,949470309;0,475102277;0,160098702;1;2;3;2;1
105;2018;327751000;56477000;152502000;532000;0,001623183;4,803265046;0,210644666;0,009419763;0;1;3;2;2
105;2019;417842000;59185000;161849000;2708000;0,006480919;6,059930726;0,26192915;0,045754835;0;1;3;2;2
105;2020;103181000;37367000;181546000;-21818000;-0,211453659;1,761286697;0,602988922;-0,58388418;0;1;3;2;2
106;2018;1033121000;984110000;329941000;1520000;0,00147127;0,049835892;0,03301259;0,001544543;0;1;3;2;2
106;2019;1009955000;963009000;310351000;3249000;0,003216975;0,048783552;0,033522286;0,0033738;0;1;3;2;2
106;2020;1004489000;942274000;307867000;821000;0,000817331;0,066061464;0,049742705;0,000871296;0;1;3;2;2
107;2018;252172000;143733000;390799000;26683000;0,105812699;0,754447482;0,150639246;0,185642824;0;1;3;2;2
107;2019;321149000;145596000;477944000;1863000;0,005801046;1,205754279;0,327953691;0,012795681;0;1;3;2;2
